Actividad,Tarea,Descripción,Horas PM,Horas Líder Técnico,Horas Dev Frontend,Horas Dev Backend,Horas Data Science,Horas QA,Horas Comercial,Mes 1,Mes 2,Mes 3,Mes 4,Mes 5,Mes 6,,# Meses,# HH,Total HH,
,Registro de alimentos suministrados,"Pantalla para registrar compras de alimento, lotes, cantidades y proveedor, asociando a la explotación.",3,3,11,10,0,0,0,,,,X,X,,,2,27,54,
,Definición de estructura de Libro Registro Ganadero,"Configurar estructura interna del libro (secciones, columnas, orden) según requisitos generales y por CCAA.",3,6,7,11,3,0,0,,,,X,X,,,2,30,60,
,Generación básica de archivo de Libro Ganadero,Implementar exportador que genere Libro Ganadero en PDF/Excel a partir de los registros del sistema.,3,6,6,14,3,0,0,,,,,X,X,,2,32,64,
Reportería y dashboards,Definición de KPIs agro-ganaderos del MVP,"Definir indicadores (nº animales activos, tratamientos por periodo, ha tratadas, etc.) y criterios de cálculo.",3,3,0,0,10,0,0,,,,X,,,,1,16,16,
,Implementación de dashboard resumen agro-ganadero,"Desarrollar dashboard de inicio con KPIs clave, tarjetas de resumen y alertas (como en mockup).",3,4,14,7,6,0,0,,,,X,X,,,2,34,68,
,Implementación de vistas de libros oficiales y Cuaderno de Campo,"Vistas de generación de Libro Ganadero y Cuaderno de Campo, con selección de año/CCAA y acciones de exportación.",3,4,12,10,3,0,0,,,,X,X,,,2,32,64,
,Módulo de exportaciones y descargas,Desarrollo de centro de descargas para PDFs/Excels y lógica de generación bajo demanda.,3,4,7,11,0,0,0,,,,,X,,,1,25,25,
"QA, pruebas con usuario y despliegue",Diseño del plan de pruebas y casos de prueba,"Definir estrategia de pruebas, casos funcionales y criterios de aceptación por módulo.",4,3,0,0,0,7,0,,,,X,,,,1,14,14,
,"Pruebas funcionales, regresión y corrección de bugs","Ejecución de pruebas, registro de incidencias, priorización y corrección de bugs en frontend/backend.",3,3,7,7,0,16,0,,,,X,X,,,2,36,72,
,Pruebas de seguridad básica y rendimiento,"Validación básica de roles, accesos, protección de datos y rendimiento en escenarios simples.",3,6,3,7,0,7,0,,,,,X,,,1,26,26,
,Soporte a pruebas de usuario (UAT) y ajustes finales,"Acompañar al cliente en pruebas UAT, recoger feedback y aplicar ajustes finales del MVP.",4,4,6,6,0,7,0,,,,,X,X,,2,27,54,
,Preparación de despliegue y documentación,"Configurar despliegue inicial, preparar documentación técnica básica y manual rápido de uso para clientes piloto.",4,4,4,6,0,3,0,,,,,,X,,1,21,21,
Comercialización y lanzamiento del MVP,Definición de propuesta de valor y pricing,"Definir propuesta de valor del MVP (beneficios vs. libro/cuaderno manual), segmentos objetivo y modelo de precios.",4,0,0,0,0,0,7,,,,X,,,,1,11,11,
,Preparación de material comercial y demo,"Crear presentación, one-pager, argumentario comercial y script de demo usando el entorno demo de AgroApp.",3,0,3,0,0,0,8,,,,X,X,,,2,14,28,
,Identificación y contacto con explotaciones piloto,Seleccionar primeras explotaciones agro-ganaderas objetivo y realizar prospección/comunicación inicial.,2,0,0,0,0,0,11,,,,,X,X,,2,13,26,
,Demos comerciales y negociación con pilotos,"Realizar demos personalizadas, recoger feedback de negocio y cerrar acuerdos de pilotos pagados o subvencionados.",2,0,0,0,0,0,14,,,,,X,X,,2,16,32,
,Feedback de mercado y roadmap post-MVP,"Consolidar feedback de clientes piloto, priorizar mejoras y definir backlog para siguientes versiones.",3,0,0,0,0,0,6,,,,,,X,,1,9,9,
,,Total HH,265,270,500,399,81,63,82,,,,,,,,,,1660,Total HH
,,Promedio HH mensual,44,45,83,67,14,11,14,,,,,,,,,,18.75  €,Valor HH
,,Promedio HH semanal,11,11,21,17,3,3,3,,,,,,,,,,"31,125.00  €",Total
