Actividad,Tarea,Funcionalidad,Descripción,BASICA (incluida en version gratuita GOB),BASICA (deseable),PREMIUM,ADD-ONs,HH,Mes 1,Mes 2,Mes 3,Mes 4,Mes 5,Mes 6,Mes 7,Mes 8,Mes 9,Mes 10
,Desarrollo de Funcionalidad:,TRANSPORTISTAS (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a TRANSPORTISTAS.",X,,,,17,,1,,,,,,,,
,Desarrollo de Funcionalidad:,"ASOCIACIONES (ganaderas, veterinarias) (Agricultura)","Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a ASOCIACIONES (ganaderas, veterinarias).",,,X,,26,,,,,1,1,,,,
,Desarrollo de Funcionalidad:,"ASOCIACIONES (ganaderas, veterinarias) (Ganadería)","Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a ASOCIACIONES (ganaderas, veterinarias).",,,X,,26,,,,,1,1,,,,
Funcionalidades - Parcelas y SIGPAC,Desarrollo de Funcionalidad:,Parcelas (datos SIGPAC) (Agricultura),"Gestión de parcelas con datos SIGPAC, superficies, cultivos, vínculos con explotación y soporte a reportabilidad.",X,,,,38,,1,1,,,,,,,
,Desarrollo de Funcionalidad:,Parcelas (datos SIGPAC) (Ganadería),"Gestión de parcelas con datos SIGPAC, superficies, cultivos, vínculos con explotación y soporte a reportabilidad.",X,,,,38,,1,1,,,,,,,
Funcionalidades - Tratamientos Agrícolas,Desarrollo de Funcionalidad:,Fitosanitarios (Agricultura),"Registro y consulta de tratamientos fitosanitarios con producto, dosis, superficie, aplicador, fechas y trazabilidad.",X,,,,34,,,1,1,,,,,,
,Desarrollo de Funcionalidad:,Fertilización (Agricultura),"Registro de fertilización, productos, dosis, superficies y datos necesarios para plan de abonado y reportes.",X,,,,31,,,1,1,,,,,,
,Desarrollo de Funcionalidad:,"Otros tratamientos (bioestimulantes, herbicinas, ...) (Agricultura)","Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Otros tratamientos (bioestimulantes, herbicinas, ...).",X,,,,24,,,1,1,,,,,,
Funcionalidades - Otras Actividades,Desarrollo de Funcionalidad:,Compra productos (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Compra productos.",X,,,,22,,,1,1,,,,,,
,Desarrollo de Funcionalidad:,Cosecha /Recolección / Siega (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Cosecha /Recolección / Siega.",X,,,,24,,,1,1,,,,,,
,Desarrollo de Funcionalidad:,Siembra / Plantación (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Siembra / Plantación.",X,,,,24,,,1,1,,,,,,
,Desarrollo de Funcionalidad:,Pastoreo (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Pastoreo.",X,,,,23,,,1,1,,,,,,
,Desarrollo de Funcionalidad:,Pastoreo (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Pastoreo.",X,,,,23,,,1,1,,,,,,
,Desarrollo de Funcionalidad:,Riego (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Riego.",X,,,,23,,,1,1,,,,,,
,Desarrollo de Funcionalidad:,Poda (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Poda.",,X,,,20,,,1,,,,,,,
,Desarrollo de Funcionalidad:,Cubierta vegetal (sembrada/inerte) (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Cubierta vegetal (sembrada/inerte).",X,,,,23,,,1,1,,,,,,
Funcionalidades - Analíticas Técnicas,Desarrollo de Funcionalidad:,Muestras (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Muestras.",X,,,,25,,,1,1,,,,,,
Funcionalidades - Censo Ganadero,Desarrollo de Funcionalidad:,Listado de animales (Ganadería),"Censo y consulta de animales con identificación, estado, datos productivos y filtros operacionales.",X,,,,37,,,1,1,,,,,,
Funcionalidades - Identificación Animal,Desarrollo de Funcionalidad:,Crotales sin dar de alta (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Crotales sin dar de alta.",X,,,,26,,,1,1,,,,,,
Funcionalidades - Actividad Ganadera,Desarrollo de Funcionalidad:,Nacimiento (Ganadería),"Registro de evento de nacimiento de animales con datos obligatorios, validaciones y trazabilidad del movimiento.",X,,,,22,,,1,1,,,,,,
,Desarrollo de Funcionalidad:,Muerte (Ganadería),"Registro de evento de muerte de animales con datos obligatorios, validaciones y trazabilidad del movimiento.",X,,,,22,,,1,1,,,,,,
,Desarrollo de Funcionalidad:,Compra (Ganadería),"Registro de evento de compra de animales con datos obligatorios, validaciones y trazabilidad del movimiento.",X,,,,22,,,1,1,,,,,,
,Desarrollo de Funcionalidad:,Venta (Ganadería),"Registro de evento de venta de animales con datos obligatorios, validaciones y trazabilidad del movimiento.",X,,,,22,,,,1,,,,,,
,Desarrollo de Funcionalidad:,Incidencia (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Incidencia.",X,,,,25,,,,1,,,,,,
Funcionalidades - Alimentación Ganadera,Desarrollo de Funcionalidad:,Compra /Alimento propio  (incl. Factura basica) (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Compra /Alimento propio  (incl. Factura basica).",X,,,,28,,,,1,,,,,,
Funcionalidades - Medicamentos Ganaderos,Desarrollo de Funcionalidad:,Compra /prescripción  (incl. Factura basica) (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Compra /prescripción  (incl. Factura basica).",X,,,,26,,,,1,,,,,,
Funcionalidades - Sanidad Ganadera,Desarrollo de Funcionalidad:,Veterinarios (explotación) (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Veterinarios (explotación).",X,,,,22,,,,1,,,,,,
,Desarrollo de Funcionalidad:,"Pruebas (saneamientos, analíticas) (Ganadería)","Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Pruebas (saneamientos, analíticas).",X,,,,25,,,,1,,,,,,
,Desarrollo de Funcionalidad:,Tratamientos (Ganadería),"Registro y consulta de tratamientos sanitarios con medicamento, dosis, veterinario, periodos de retiro y animal/lote asociado.",X,,,,31,,,,1,,,,,,
Funcionalidades - Informes Oficiales,Desarrollo de Funcionalidad:,Cuaderno de Campo (agro) (Agricultura),"Implementación de registros, validaciones y exportación del Cuaderno de Campo para cumplimiento y trazabilidad agrícola.",X,,,,44,,,,1,,,,,,
,Desarrollo de Funcionalidad:,Libro de Registro (ganadero) (Ganadería),"Implementación del Libro de Registro Ganadero con registros oficiales, filtros, trazabilidad y exportación.",X,,,,44,,,,1,,,,,,
Funcionalidades - Analítica y Métricas,Desarrollo de Funcionalidad:,Analitica Basica (Agricultura),"Construcción de indicadores, cálculos y visualizaciones para apoyar gestión, análisis y toma de decisiones.",,X,,,29,,,,1,,,,,,
,Desarrollo de Funcionalidad:,Analitica Basica (Ganadería),"Construcción de indicadores, cálculos y visualizaciones para apoyar gestión, análisis y toma de decisiones.",,X,,,29,,,,1,,,,,,
,Desarrollo de Funcionalidad:,Analitica Premium (Agricultura),"Construcción de indicadores, cálculos y visualizaciones para apoyar gestión, análisis y toma de decisiones.",,,X,,46,,,,,1,1,,,,
,Desarrollo de Funcionalidad:,Analitica Premium (Ganadería),"Construcción de indicadores, cálculos y visualizaciones para apoyar gestión, análisis y toma de decisiones.",,,X,,46,,,,,1,1,,,,
,Desarrollo de Funcionalidad:,Analitica a medida (Agricultura),"Construcción de indicadores, cálculos y visualizaciones para apoyar gestión, análisis y toma de decisiones.",,,,X,49,,,,,1,1,,,,
,Desarrollo de Funcionalidad:,Analitica a medida (Ganadería),"Construcción de indicadores, cálculos y visualizaciones para apoyar gestión, análisis y toma de decisiones.",,,,X,49,,,,,1,1,,,,
,Desarrollo de Funcionalidad:,Analitica Sostenibilidad (ODS) (Agricultura),"Construcción de indicadores, cálculos y visualizaciones para apoyar gestión, análisis y toma de decisiones.",,,,X,46,,,,,1,1,,,,
,Desarrollo de Funcionalidad:,Analitica Sostenibilidad (ODS) (Ganadería),"Construcción de indicadores, cálculos y visualizaciones para apoyar gestión, análisis y toma de decisiones.",,,,X,46,,,,,1,1,,,,
Funcionalidades - Blog / Canal de Noticias,Desarrollo de Funcionalidad:,Noticias por Comunidad Autonoma(RSS) (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Noticias por Comunidad Autonoma(RSS).",,,X,,32,,,,,,1,1,,,
,Desarrollo de Funcionalidad:,Noticias por Comunidad Autonoma(RSS) (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Noticias por Comunidad Autonoma(RSS).",,,X,,32,,,,,,1,1,,,
,Desarrollo de Funcionalidad:,Subastas y Lonjas (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Subastas y Lonjas.",,,X,,33,,,,,,1,1,,,
,Desarrollo de Funcionalidad:,Subastas y Lonjas (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Subastas y Lonjas.",,,X,,33,,,,,,1,1,,,
Funcionalidades - IoT y Tecnología,Desarrollo de Funcionalidad:,Sensores (Agricultura),"Preparación de modelo de datos, endpoints e interfaz para captura y visualización de datos de sensores.",,,X,,58,,,,,,1,1,,,
,Desarrollo de Funcionalidad:,Sensores (Ganadería),"Preparación de modelo de datos, endpoints e interfaz para captura y visualización de datos de sensores.",,,X,,58,,,,,,1,1,,,
,Desarrollo de Funcionalidad:,Integración app tractores/maquinaria (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Integración app tractores/maquinaria.",,,X,,30,,,,,,1,1,,,
,Desarrollo de Funcionalidad:,Integración app tractores/maquinaria (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Integración app tractores/maquinaria.",,,X,,30,,,,,,1,1,,,
,Desarrollo de Funcionalidad:,Microchips animales (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Microchips animales.",,,X,,56,,,,,,1,1,,,
,Desarrollo de Funcionalidad:,Microchips animales (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Microchips animales.",,,X,,56,,,,,,1,1,,,
,Desarrollo de Funcionalidad:,Geolocalización (Agricultura),"Registro y visualización de ubicaciones geográficas asociadas a activos, parcelas, animales o eventos operacionales.",,,X,,53,,,,,,,1,1,,
,Desarrollo de Funcionalidad:,Geolocalización (Ganadería),"Registro y visualización de ubicaciones geográficas asociadas a activos, parcelas, animales o eventos operacionales.",,,X,,53,,,,,,,1,1,,
Funcionalidades - Meteorología,Desarrollo de Funcionalidad:,METEOROLOGIA (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a METEOROLOGIA.",,,X,,47,,,,,,,1,1,,
,Desarrollo de Funcionalidad:,METEOROLOGIA (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a METEOROLOGIA.",,,X,,47,,,,,,,1,1,,
Funcionalidades - Formación,Desarrollo de Funcionalidad:,Cursos (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Cursos.",,,X,,27,,,,,,,1,1,,
,Desarrollo de Funcionalidad:,Cursos (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Cursos.",,,X,,27,,,,,,,1,1,,
,Desarrollo de Funcionalidad:,Certificados (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Certificados.",,,X,,24,,,,,,,1,,,
,Desarrollo de Funcionalidad:,Certificados (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Certificados.",,,X,,24,,,,,,,1,,,
Funcionalidades - Administración,Desarrollo de Funcionalidad:,Facturas emitidas (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Facturas emitidas.",,X,,,25,,,,1,,,,,,
,Desarrollo de Funcionalidad:,Facturas emitidas (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Facturas emitidas.",,X,,,25,,,,1,,,,,,
,Desarrollo de Funcionalidad:,Facturas recibidas (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Facturas recibidas.",X,,,,25,,,,1,,,,,,
,Desarrollo de Funcionalidad:,Facturas recibidas (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Facturas recibidas.",X,,,,25,,,,1,,,,,,
,Desarrollo de Funcionalidad:,Albaranes (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Albaranes.",,,X,,27,,,,,,,1,1,,
,Desarrollo de Funcionalidad:,Albaranes (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Albaranes.",,,X,,27,,,,,,,1,1,,
,Desarrollo de Funcionalidad:,Nominas (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Nominas.",,,X,,29,,,,,,,,1,1,
,Desarrollo de Funcionalidad:,Nominas (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Nominas.",,,X,,29,,,,,,,,1,1,
,Desarrollo de Funcionalidad:,Plan de trabajo /ejecución (funciones por empleado) (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Plan de trabajo /ejecución (funciones por empleado).",,,X,,35,,,,,,,,1,1,
,Desarrollo de Funcionalidad:,Plan de trabajo /ejecución (funciones por empleado) (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Plan de trabajo /ejecución (funciones por empleado).",,,X,,35,,,,,,,,1,1,
Funcionalidades - Análisis Financiero,Desarrollo de Funcionalidad:,Analisis costes / márgenes (Agricultura),"Construcción de indicadores, cálculos y visualizaciones para apoyar gestión, análisis y toma de decisiones.",,,X,,35,,,,1,1,,,,,
,Desarrollo de Funcionalidad:,Analisis costes / márgenes (Ganadería),"Construcción de indicadores, cálculos y visualizaciones para apoyar gestión, análisis y toma de decisiones.",,,X,,35,,,,1,1,,,,,
,Desarrollo de Funcionalidad:,Ratios (Agricultura),"Construcción de indicadores, cálculos y visualizaciones para apoyar gestión, análisis y toma de decisiones.",,,X,,46,,,,1,1,1,,,,
,Desarrollo de Funcionalidad:,Ratios (Ganadería),"Construcción de indicadores, cálculos y visualizaciones para apoyar gestión, análisis y toma de decisiones.",,,X,,46,,,,1,1,1,,,,
,Desarrollo de Funcionalidad:,Informe mensual (Agricultura),"Generación de informe parametrizable con datos consolidados, métricas y exportación para seguimiento periódico.",,,,X,24,,,,,,,,1,,
,Desarrollo de Funcionalidad:,Informe mensual (Ganadería),"Generación de informe parametrizable con datos consolidados, métricas y exportación para seguimiento periódico.",,,,X,24,,,,,,,,1,,
,Desarrollo de Funcionalidad:,Informe Trimestral (Agricultura),"Generación de informe parametrizable con datos consolidados, métricas y exportación para seguimiento periódico.",,,,X,22,,,,,,,,1,,
,Desarrollo de Funcionalidad:,Informe Trimestral (Ganadería),"Generación de informe parametrizable con datos consolidados, métricas y exportación para seguimiento periódico.",,,,X,22,,,,,,,,1,,
,Desarrollo de Funcionalidad:,Informe Semestral (Agricultura),"Generación de informe parametrizable con datos consolidados, métricas y exportación para seguimiento periódico.",,,,X,22,,,,,,,,1,,
,Desarrollo de Funcionalidad:,Informe Semestral (Ganadería),"Generación de informe parametrizable con datos consolidados, métricas y exportación para seguimiento periódico.",,,,X,22,,,,,,,,1,,
,Desarrollo de Funcionalidad:,Informe Anual (Agricultura),"Generación de informe parametrizable con datos consolidados, métricas y exportación para seguimiento periódico.",,X,,,19,,,,1,,,,,,
Arquitectura de datos e IA,"Diseño de arquitectura IA, gobierno de datos y criterios de entrenamiento",,"Definición de arquitectura para IA, fuentes de datos, permisos, trazabilidad, calidad de datos, evaluación de modelos, seguridad y criterios de uso responsable.",,,X,,40,,,,,1,1,,,,
Funcionalidades IA - Captura por voz,Desarrollo de Funcionalidad:,Ingreso de información por voz (Agricultura),"Captura de registros agrícolas mediante voz, transcripción, estructuración automática en formularios, validaciones y confirmación antes de guardar.",,,,X,32,,,,,,1,1,,,
,Desarrollo de Funcionalidad:,Ingreso de información por voz (Ganadería),"Captura de registros ganaderos mediante voz, transcripción, estructuración automática en formularios, validaciones y confirmación antes de guardar.",,,,X,32,,,,,,1,1,,,
Funcionalidades IA - Asistente LLM,Desarrollo de Funcionalidad:,Asistente LLM de consultas del sistema (Agricultura),"Asistente conversacional para consultar datos agrícolas, explicar indicadores, resumir información de parcelas y orientar al usuario dentro del sistema.",,,X,,46,,,,,,1,1,1,,
,Desarrollo de Funcionalidad:,Asistente LLM de consultas del sistema (Ganadería),"Asistente conversacional para consultar datos ganaderos, explicar indicadores, resumir información de animales/explotaciones y orientar al usuario dentro del sistema.",,,X,,46,,,,,,1,1,1,,
,Desarrollo de Funcionalidad:,Asistente LLM para registrar tareas y acciones guiadas (Agricultura),"Creación guiada de tareas agrícolas mediante lenguaje natural, generación de borradores, asignación de responsables, fechas y confirmación de acciones.",,,,X,38,,,,,,,1,1,,
,Desarrollo de Funcionalidad:,Asistente LLM para registrar tareas y acciones guiadas (Ganadería),"Creación guiada de tareas ganaderas mediante lenguaje natural, generación de borradores, asignación de responsables, fechas y confirmación de acciones.",,,,X,38,,,,,,,1,1,,
Funcionalidades IA - Modelos predictivos,Desarrollo de Funcionalidad:,Predicción de riesgo sanitario y tratamientos (Ganadería),"Modelo predictivo para anticipar riesgos sanitarios, patrones de tratamientos, alertas de animales/grupos y priorización de acciones preventivas.",,,X,,54,,,,,,,1,1,1,
,Desarrollo de Funcionalidad:,"Predicción de planificación agrícola, riego y fertilización (Agricultura)","Modelo predictivo para anticipar necesidades de riego, fertilización o labores según datos históricos, clima, parcelas y registros operativos disponibles.",,,X,,54,,,,,,,1,1,1,
,Desarrollo de Funcionalidad:,"Predicción de rentabilidad, costes y alertas de margen (Agricultura)","Modelo predictivo para anticipar evolución de costes, márgenes, desviaciones y alertas económicas a partir de registros financieros y productivos.",,,X,,38,,,,,,,,1,1,1
,Desarrollo de Funcionalidad:,"Predicción de rentabilidad, costes y alertas de margen (Ganadería)","Modelo predictivo para anticipar evolución de costes, márgenes, desviaciones y alertas económicas a partir de registros financieros, sanitarios y productivos.",,,X,,38,,,,,,,,1,1,1
MLOps y operación de IA,"Evaluación, monitoreo y mejora continua de modelos IA",,"Definición de métricas, evaluación de calidad, monitoreo de desempeño, trazabilidad de predicciones, retraining y tablero operativo de modelos.",,,X,,50,,,,,,,,1,1,1
Core plataforma web,"Servicios comunes, catálogos base y datos maestros",,"Construcción de servicios reutilizables para CRUD, catálogos, filtros, paginación, búsqueda, validaciones y reutilización transversal.",,,X,,60,,,,,,,,,1,1
,Parametrización por comunidad autónoma y reglas de negocio,,"Implementación de estructura de reglas parametrizables por CCAA, tipos de explotación, formatos, obligatoriedad de campos y validaciones.",,,X,,58,,,,,,,,,1,1
,"Motor de exportación PDF, Excel y CSV",,"Desarrollo de componentes comunes para generación de libros, informes, listados y descargas en formatos PDF, XLS/XLSX y CSV.",,,X,,72,,,,,,,,,1,1
,Gestión documental y adjuntos,,"Desarrollo de estructura para cargar, clasificar, consultar y vincular documentos a explotaciones, animales, parcelas, facturas o actividades.",,,X,,54,,,,,,,,,1,1
Reportería y dashboards,Framework de dashboards e indicadores,,"Construcción de componentes de KPIs, gráficos, filtros, vistas de resumen y base de cálculo para métricas agro-ganaderas y financieras.",,,X,,64,,,,,,,,,1,1
,Motor de notificaciones y alertas,,"Definición y desarrollo de alertas por vencimientos, inconsistencias, datos críticos, umbrales y tareas pendientes.",,,X,,64,,,,,,,,,1,1
